"Rusguniae","Monastir","Guelma","Volubilis","Banasa","Ain Temouchent","Albulae","Thibilis","Tipasa","Sabratha","Adjim","Carthage"
"Rusguniae",0,0,0.765,0,0,0,0,0,0,0,0,0
"Monastir",0,0,0,0.995,0.306,1,0.997,0.978,0.873,0.484,0.306,0.418
"Guelma",0.765,0,0,0,0,0,0,0,0,0,0,0
"Volubilis",0,0.995,0,0,0.994,1,1,1,0.157,0.996,0.994,0.995
"Banasa",0,0.306,0,0.994,0,1,0.995,0.969,0.967,0.25,0,0.176
"Ain Temouchent",0,1,0,1,1,0,1,1,0.04,1,1,1
"Albulae",0,0.997,0,1,0.995,1,0,1,0.138,0.996,0.995,0.997
"Thibilis",0,0.978,0,1,0.969,1,1,0,0.262,0.976,0.969,0.97
"Tipasa",0,0.873,0,0.157,0.967,0.04,0.138,0.262,0,0.974,0.967,0.971
"Sabratha",0,0.484,0,0.996,0.25,1,0.996,0.976,0.974,0,0.25,0.384
"Adjim",0,0.306,0,0.994,0,1,0.995,0.969,0.967,0.25,0,0.176
"Carthage",0,0.418,0,0.995,0.176,1,0.997,0.97,0.971,0.384,0.176,0
