Site,sestertius,dupondius,denarius,aureus,as,dupondius/as
Gafsa,27,1,0,0,0,0
Rusguniae,428,0,0,0,0,0
Monastir,5,0,189,0,0,0
Lambaesa,0,0,55,1,0,0
Guelma,1636,0,0,0,3,0
Volubilis,0,0,54,0,1,1
Banasa,11,0,2,0,0,0
Ain Temouchent,0,0,79,0,0,0
Ain Bessem,26,0,0,0,0,0
Ain el Djenan,0,0,21,0,0,0
Albulae,58,0,84,0,0,0
Alger-Hammamet,21,0,0,0,0,0
Alger-Rais Hamidou,71,0,0,0,0,0
Thibilis,0,0,386,0,0,0
Bouira,0,0,10,0,0,0
Cherchel,669,0,0,0,0,0
Auzia,0,0,301,5,0,0
Cissi,80,0,0,0,0,0
Grarem,226,0,0,0,0,0
Aquae Calidae,202,0,0,0,0,0
Khemis el Khema,225,0,0,0,0,0
Gunugu,51,0,0,0,0,0
Taher,51,0,0,0,0,0
Tipasa,0,0,11,0,0,0
Garian,282,0,0,0,0,0
Sabratha,0,0,12,0,0,0
Tripoli ,281,0,0,0,0,0
Adjim,0,0,41,0,0,0
Carthage,0,0,28,0,0,0
Thaenae,0,0,12,0,0,0
Hadrumetum,0,0,1001,6,0,0
