"Gafsa","Guelma","Rusguniae","Banasa","Ain Temouchent","Hadrumetum","El-Hamadi","Albulae","Ain Trab","Thibilis","Cissi","Gadiaufala","Miliana","Bou Arreridj","Rusicade","Rapidum","Auzia","Cartennas","Iomnium","Lucu","Tipasa","Abbiar-Miggi","Gasr Selim","Sabratha","Adjim","Carthage","Thysdrus","Fadhiline","Ras Kaboudia","Utica","Volubilis"
"Gafsa",200,200,200,3.56612184249627,0,0,0,0,200,0,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
"Guelma",200,200,200,3.56612184249627,0,0,0,0,200,0,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
"Rusguniae",200,200,200,3.56612184249627,0,0,0,0,200,0,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
"Banasa",3.56612184249627,3.56612184249627,3.56612184249627,200,1.78306092124814,27.5801623705235,1.78306092124814,1.78306092124814,3.56612184249627,1.78306092124814,194.650817236256,3.56612184249627,194.650817236256,194.650817236256,194.650817236256,194.650817236256,194.650817236256,194.650817236256,194.650817236256,3.56612184249627,194.650817236256,194.650817236256,194.650817236256,49.4021085402958,1.78306092124814,1.78306092124814,194.650817236256,194.650817236256,194.650817236256,194.650817236256,194.650817236256
"Ain Temouchent",0,0,0,1.78306092124814,200,174.202898550725,200,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,152.380952380952,200,200,0,0,0,0,0
"Hadrumetum",0,0,0,27.5801623705235,174.202898550725,200,174.202898550725,174.202898550725,0,174.202898550725,25.7971014492754,0,25.7971014492754,25.7971014492754,25.7971014492754,25.7971014492754,25.7971014492754,25.7971014492754,25.7971014492754,0,25.7971014492754,25.7971014492754,25.7971014492754,178.178053830228,174.202898550725,174.202898550725,25.7971014492754,25.7971014492754,25.7971014492754,25.7971014492754,25.7971014492754
"El-Hamadi",0,0,0,1.78306092124814,200,174.202898550725,200,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,152.380952380952,200,200,0,0,0,0,0
"Albulae",0,0,0,1.78306092124814,200,174.202898550725,200,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,152.380952380952,200,200,0,0,0,0,0
"Ain Trab",200,200,200,3.56612184249627,0,0,0,0,200,0,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
"Thibilis",0,0,0,1.78306092124814,200,174.202898550725,200,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,152.380952380952,200,200,0,0,0,0,0
"Cissi",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Gadiaufala",200,200,200,3.56612184249627,0,0,0,0,200,0,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
"Miliana",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Bou Arreridj",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Rusicade",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Rapidum",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Auzia",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Cartennas",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Iomnium",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Lucu",200,200,200,3.56612184249627,0,0,0,0,200,0,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
"Tipasa",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Abbiar-Miggi",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Gasr Selim",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Sabratha",0,0,0,49.4021085402958,152.380952380952,178.178053830228,152.380952380952,152.380952380952,0,152.380952380952,47.6190476190476,0,47.6190476190476,47.6190476190476,47.6190476190476,47.6190476190476,47.6190476190476,47.6190476190476,47.6190476190476,0,47.6190476190476,47.6190476190476,47.6190476190476,200,152.380952380952,152.380952380952,47.6190476190476,47.6190476190476,47.6190476190476,47.6190476190476,47.6190476190476
"Adjim",0,0,0,1.78306092124814,200,174.202898550725,200,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,152.380952380952,200,200,0,0,0,0,0
"Carthage",0,0,0,1.78306092124814,200,174.202898550725,200,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,152.380952380952,200,200,0,0,0,0,0
"Thysdrus",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Fadhiline",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Ras Kaboudia",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Utica",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
"Volubilis",0,0,0,194.650817236256,0,25.7971014492754,0,0,0,0,200,0,200,200,200,200,200,200,200,0,200,200,200,47.6190476190476,0,0,200,200,200,200,200
